disease,symptom,treatment,authors,publication_date,source
Diabetes,"Headaches, Dizziness",Anti-inflammatory drugs,Denise Blake,2010-09-21,NIH
Flu,"Shortness of Breath, Cough","Insulin, Metformin",Chelsea Williams,2004-09-23,WHO
Flu,"Numbness, Weakness","Medications, Therapy",Megan Griffin,2020-12-21,Elsevier
Hypertension,"Shortness of Breath, Cough","Chloroquine, Artemisinin",Wayne Hernandez,2020-07-18,WHO
Malaria,"Loss of Smell, Cough","Chemotherapy, Radiotherapy",Mr. Bobby Galloway,2021-04-18,PubMed
Asthma,"Chills, Muscle Pain","Chemotherapy, Radiotherapy",Lindsay Perez,2011-05-28,WHO
Malaria,"Fatigue, Weight Loss","Chloroquine, Artemisinin",Andrew Jacobs,2000-05-17,Elsevier
Flu,"Loss of Smell, Cough","Lifestyle changes, Antihypertensive drugs",Susan Miller,2015-06-28,NIH
Alzheimer's,"Confusion, Memory Loss","Insulin, Metformin",Lisa Guerra,2011-06-19,PubMed
Diabetes,"Increased Thirst, Fatigue","Lifestyle changes, Antihypertensive drugs",Jennifer Berger,2019-11-17,CDC
Hypertension,"Confusion, Memory Loss","Bronchodilators, Corticosteroids",Amy Garcia,2004-08-24,NIH
Malaria,"Chills, Muscle Pain","Bronchodilators, Corticosteroids",Nicole Mendez,2004-05-12,CDC
Alzheimer's,"Joint Pain, Swelling","Chemotherapy, Radiotherapy",David Powell,2000-09-30,NIH
Flu,"Fatigue, Weight Loss","Medications, Therapy",Robert Bailey,2018-03-28,WHO
Cancer,"Shortness of Breath, Cough","Medications, Therapy",Ann Molina,2003-01-20,NIH
Malaria,"Confusion, Memory Loss","Medications, Therapy",Dr. Cassandra Collier,2019-10-12,PubMed
COVID-19,"Headaches, Dizziness","Medications, Therapy",Lisa Hall,2009-09-17,CDC
Cancer,"Shortness of Breath, Cough","Rest, Fluids",Brittney Hood,2010-05-09,NIH
Alzheimer's,"Joint Pain, Swelling","Lifestyle changes, Antihypertensive drugs",Amber Newton,2023-05-10,CDC
Stroke,"Headaches, Dizziness","Medications, Therapy",Kyle Walker II,2024-11-29,CDC
Stroke,"Increased Thirst, Fatigue",Anti-inflammatory drugs,Brandon Oconnell,2019-10-06,NIH
Malaria,"Headaches, Dizziness",Anti-inflammatory drugs,Ashley Hale,2000-10-05,PubMed
COVID-19,"Increased Thirst, Fatigue","Bronchodilators, Corticosteroids",Philip Gomez,2010-09-01,WHO
Alzheimer's,"Loss of Smell, Cough","Vaccines, Antiviral Drugs",Tony Wong,2015-02-08,Elsevier
Diabetes,"Headaches, Dizziness","Insulin, Metformin",Sarah Lewis,2015-04-15,PubMed
Flu,"Joint Pain, Swelling","Chloroquine, Artemisinin",Kyle Jones,2022-01-22,Elsevier
Malaria,"Numbness, Weakness","Chemotherapy, Radiotherapy",William Miller,2017-08-13,NIH
COVID-19,"Joint Pain, Swelling","Bronchodilators, Corticosteroids",Heidi Collins,2016-12-19,PubMed
Stroke,"Chills, Muscle Pain","Bronchodilators, Corticosteroids",Todd Ortiz,2023-04-14,Elsevier
Cancer,"Fatigue, Weight Loss","Vaccines, Antiviral Drugs",Mark Vega,2014-10-11,Elsevier
Stroke,"Chills, Muscle Pain","Blood Thinners, Surgery",Norma Brooks,2000-07-02,Elsevier
Malaria,"Shortness of Breath, Cough","Medications, Therapy",Christine Davis,2015-10-24,CDC
Diabetes,"Fever, Headache","Rest, Fluids",Deborah Peterson,2017-03-16,CDC
Malaria,"Increased Thirst, Fatigue","Blood Thinners, Surgery",Sherry Combs,2020-05-24,PubMed
Diabetes,"Fever, Headache",Anti-inflammatory drugs,Kristen Montoya,2023-09-25,Elsevier
Cancer,"Chills, Muscle Pain","Chemotherapy, Radiotherapy",Brianna Harrison,2019-07-16,WHO
Arthritis,"Joint Pain, Swelling","Bronchodilators, Corticosteroids",Christine Escobar,2022-12-22,CDC
Flu,"Fatigue, Weight Loss","Lifestyle changes, Antihypertensive drugs",Gabriella Cruz,2018-05-03,WHO
COVID-19,"Fatigue, Weight Loss","Lifestyle changes, Antihypertensive drugs",Hannah Hernandez,2012-11-03,CDC
Diabetes,"Headaches, Dizziness","Medications, Therapy",Erin Martin,2005-01-16,NIH
Malaria,"Confusion, Memory Loss","Vaccines, Antiviral Drugs",Lisa Hall,2007-12-26,CDC
Hypertension,"Shortness of Breath, Cough","Rest, Fluids",Belinda Bell,2006-07-17,NIH
Diabetes,"Fatigue, Weight Loss","Insulin, Metformin",Grace Greene,2000-09-05,CDC
Alzheimer's,"Chills, Muscle Pain",Anti-inflammatory drugs,Brandon Oconnell,2016-12-10,Elsevier
Malaria,"Fatigue, Weight Loss","Insulin, Metformin",David Yates,2015-03-02,CDC
Flu,"Chills, Muscle Pain","Medications, Therapy",Matthew Irwin,2023-11-25,NIH
Asthma,"Numbness, Weakness","Blood Thinners, Surgery",Christian Clark,2012-07-26,NIH
Stroke,"Fatigue, Weight Loss",Anti-inflammatory drugs,Denise Nichols,2024-07-19,PubMed
Malaria,"Increased Thirst, Fatigue","Medications, Therapy",Tara Moore,2014-06-30,PubMed
Cancer,"Chills, Muscle Pain","Insulin, Metformin",Miss Maria Hunter DVM,2022-12-07,PubMed
Hypertension,"Chills, Muscle Pain","Lifestyle changes, Antihypertensive drugs",Brian Dominguez,2023-10-27,PubMed
Asthma,"Fever, Headache","Medications, Therapy",Maria Nichols,2000-07-27,PubMed
Stroke,"Shortness of Breath, Cough",Anti-inflammatory drugs,Melissa Henson,2011-05-08,PubMed
Alzheimer's,"Shortness of Breath, Cough","Bronchodilators, Corticosteroids",Melissa Collier,2008-02-11,CDC
Stroke,"Chills, Muscle Pain","Chemotherapy, Radiotherapy",Dr. David Wade,2005-08-17,CDC
Hypertension,"Loss of Smell, Cough","Chemotherapy, Radiotherapy",Todd Cox,2007-03-01,NIH
Arthritis,"Joint Pain, Swelling","Chloroquine, Artemisinin",Robert Cole,2016-12-14,CDC
Flu,"Loss of Smell, Cough","Chloroquine, Artemisinin",John Morris,2017-10-23,Elsevier
Flu,"Numbness, Weakness","Insulin, Metformin",Sandra Bauer,2015-02-10,PubMed
Arthritis,"Shortness of Breath, Cough","Medications, Therapy",Nancy Ramirez,2013-04-09,WHO
Stroke,"Increased Thirst, Fatigue","Bronchodilators, Corticosteroids",Guy Compton,2020-12-11,NIH
Stroke,"Numbness, Weakness","Lifestyle changes, Antihypertensive drugs",Mrs. Lauren Gomez MD,2005-09-06,WHO
Diabetes,"Shortness of Breath, Cough","Blood Thinners, Surgery",Sarah Austin,2006-03-02,CDC
COVID-19,"Increased Thirst, Fatigue","Vaccines, Antiviral Drugs",Sara Allen,2013-04-07,CDC
Flu,"Fatigue, Weight Loss","Chemotherapy, Radiotherapy",Donna Wright,2002-10-06,PubMed
COVID-19,"Headaches, Dizziness",Anti-inflammatory drugs,Susan Martinez,2004-01-23,CDC
Asthma,"Joint Pain, Swelling","Lifestyle changes, Antihypertensive drugs",Mark Murphy,2018-08-15,Elsevier
Stroke,"Increased Thirst, Fatigue","Rest, Fluids",Edward Becker,2017-05-11,Elsevier
Diabetes,"Numbness, Weakness","Blood Thinners, Surgery",Jeffrey Roman,2013-07-04,WHO
COVID-19,"Loss of Smell, Cough","Bronchodilators, Corticosteroids",Bradley Smith DDS,2007-11-16,PubMed
Cancer,"Fever, Headache","Vaccines, Antiviral Drugs",Holly Ashley,2024-02-17,WHO
Stroke,"Shortness of Breath, Cough",Anti-inflammatory drugs,Tammy Pierce,2015-08-02,NIH
Malaria,"Shortness of Breath, Cough","Insulin, Metformin",Brandon Smith,2011-11-15,PubMed
Hypertension,"Confusion, Memory Loss","Bronchodilators, Corticosteroids",Guy Compton,2019-07-18,NIH
Asthma,"Loss of Smell, Cough","Medications, Therapy",Deborah Smith,2005-10-17,PubMed
Asthma,"Numbness, Weakness","Rest, Fluids",William Schneider,2002-01-23,WHO
COVID-19,"Increased Thirst, Fatigue","Blood Thinners, Surgery",Richard Matthews,2001-11-28,WHO
Hypertension,"Increased Thirst, Fatigue",Anti-inflammatory drugs,Daniel Brooks,2017-10-12,CDC
Malaria,"Fever, Headache","Medications, Therapy",Jeremy Freeman,2009-05-29,CDC
Diabetes,"Chills, Muscle Pain","Chloroquine, Artemisinin",Sarah Turner,2021-06-30,WHO
Malaria,"Headaches, Dizziness","Chemotherapy, Radiotherapy",Guy Compton,2023-02-27,Elsevier
Cancer,"Joint Pain, Swelling",Anti-inflammatory drugs,Jennifer Mcguire,2000-07-26,Elsevier
Hypertension,"Confusion, Memory Loss",Anti-inflammatory drugs,Carl Mcneil,2008-08-30,PubMed
Cancer,"Shortness of Breath, Cough","Medications, Therapy",Angela Jones,2001-02-07,NIH
Arthritis,"Joint Pain, Swelling","Insulin, Metformin",Roger Wiggins,2019-04-25,NIH
COVID-19,"Shortness of Breath, Cough","Lifestyle changes, Antihypertensive drugs",Dr. Shane Ballard,2006-09-08,CDC
Diabetes,"Shortness of Breath, Cough","Rest, Fluids",Matthew Wang,2017-05-07,NIH
Malaria,"Joint Pain, Swelling","Chloroquine, Artemisinin",Dawn Padilla,2002-08-11,CDC
Hypertension,"Confusion, Memory Loss","Lifestyle changes, Antihypertensive drugs",Ryan Garcia,2003-11-01,PubMed
Flu,"Chills, Muscle Pain","Vaccines, Antiviral Drugs",Carrie Melendez,2011-04-16,PubMed
Arthritis,"Fever, Headache","Rest, Fluids",David Donovan,2002-11-24,CDC
Stroke,"Headaches, Dizziness","Vaccines, Antiviral Drugs",Shelby Lopez,2001-01-11,CDC
COVID-19,"Loss of Smell, Cough","Bronchodilators, Corticosteroids",Angelica Cannon,2012-05-17,WHO
Arthritis,"Increased Thirst, Fatigue","Vaccines, Antiviral Drugs",Heather Walsh,2004-11-08,NIH
COVID-19,"Numbness, Weakness","Medications, Therapy",Guy Brown,2002-03-11,PubMed
Diabetes,"Chills, Muscle Pain","Rest, Fluids",Ronald Clark DVM,2002-01-19,Elsevier
Malaria,"Loss of Smell, Cough","Vaccines, Antiviral Drugs",Thomas Owens,2009-03-31,NIH
Hypertension,"Fever, Headache","Chloroquine, Artemisinin",Joy Hoover,2022-08-15,WHO
Asthma,"Increased Thirst, Fatigue","Lifestyle changes, Antihypertensive drugs",Elizabeth Reyes,2007-07-11,CDC
Flu,"Joint Pain, Swelling","Bronchodilators, Corticosteroids",Timothy Rose,2015-08-01,PubMed
COVID-19,"Fever, Headache","Insulin, Metformin",Denise Nichols,2019-06-04,WHO
Diabetes,"Increased Thirst, Fatigue","Bronchodilators, Corticosteroids",Ryan Smith,2016-10-09,WHO
Alzheimer's,"Chills, Muscle Pain","Chloroquine, Artemisinin",Lawrence Howard,2015-06-24,CDC
Arthritis,"Shortness of Breath, Cough","Medications, Therapy",Brittany Ray,2012-07-23,Elsevier
Cancer,"Headaches, Dizziness","Medications, Therapy",Rachel Fuller,2018-01-31,CDC
Malaria,"Shortness of Breath, Cough","Medications, Therapy",Frank Johnson,2009-02-28,CDC
Flu,"Fatigue, Weight Loss","Blood Thinners, Surgery",Jeffrey Roman,2010-07-09,CDC
Malaria,"Joint Pain, Swelling","Blood Thinners, Surgery",Charles Mills,2006-11-30,Elsevier
Alzheimer's,"Numbness, Weakness",Anti-inflammatory drugs,Martha Wood,2011-12-31,WHO
Alzheimer's,"Confusion, Memory Loss","Medications, Therapy",Brittany Harmon,2003-05-22,CDC
Stroke,"Confusion, Memory Loss","Vaccines, Antiviral Drugs",Kenneth Hunter,2023-08-25,PubMed
Diabetes,"Chills, Muscle Pain","Medications, Therapy",Allison Edwards,2011-08-26,WHO
Alzheimer's,"Joint Pain, Swelling","Medications, Therapy",Brad Brady,2004-05-08,PubMed
Alzheimer's,"Shortness of Breath, Cough",Anti-inflammatory drugs,William Schneider,2018-11-28,CDC
Stroke,"Chills, Muscle Pain","Lifestyle changes, Antihypertensive drugs",Natalie Aguilar,2023-02-17,Elsevier
Asthma,"Fever, Headache","Lifestyle changes, Antihypertensive drugs",William Edwards,2020-05-02,CDC
Malaria,"Fatigue, Weight Loss","Chloroquine, Artemisinin",Jose Sanchez,2011-06-15,PubMed
COVID-19,"Headaches, Dizziness","Blood Thinners, Surgery",Joseph Howe,2020-12-09,CDC
Cancer,"Fever, Headache","Medications, Therapy",Allison Ochoa,2002-11-10,NIH
Stroke,"Numbness, Weakness","Lifestyle changes, Antihypertensive drugs",Linda Graves,2003-02-25,Elsevier
Alzheimer's,"Loss of Smell, Cough","Chemotherapy, Radiotherapy",Damon Stewart,2005-12-06,NIH
Malaria,"Confusion, Memory Loss",Anti-inflammatory drugs,Tina Howard,2001-07-26,NIH
Hypertension,"Shortness of Breath, Cough","Insulin, Metformin",Craig Sparks,2000-12-19,Elsevier
Asthma,"Chills, Muscle Pain","Blood Thinners, Surgery",David Goodman,2007-12-27,CDC
COVID-19,"Chills, Muscle Pain","Insulin, Metformin",Rebecca Soto,2014-01-12,Elsevier
Asthma,"Chills, Muscle Pain","Bronchodilators, Corticosteroids",Mrs. Leslie Anderson,2000-03-02,Elsevier
Malaria,"Joint Pain, Swelling","Blood Thinners, Surgery",Harold Hernandez,2001-02-22,CDC
Alzheimer's,"Loss of Smell, Cough","Bronchodilators, Corticosteroids",Kenneth Dorsey,2004-08-16,NIH
Malaria,"Confusion, Memory Loss","Bronchodilators, Corticosteroids",Sarah Holden,2004-01-06,PubMed
Stroke,"Shortness of Breath, Cough","Rest, Fluids",Tina Howard,2015-07-18,NIH
COVID-19,"Headaches, Dizziness","Chloroquine, Artemisinin",Jacob Brooks,2006-01-03,CDC
Arthritis,"Numbness, Weakness","Bronchodilators, Corticosteroids",Paula Murphy,2024-05-07,PubMed
Alzheimer's,"Shortness of Breath, Cough","Medications, Therapy",Susan Olson,2022-04-08,WHO
Arthritis,"Joint Pain, Swelling","Insulin, Metformin",John Crawford,2018-03-25,PubMed
Diabetes,"Numbness, Weakness","Medications, Therapy",Herbert Hatfield,2010-07-30,NIH
Malaria,"Chills, Muscle Pain","Vaccines, Antiviral Drugs",Kathryn Peters,2005-05-24,WHO
Diabetes,"Loss of Smell, Cough",Anti-inflammatory drugs,Kenneth Vincent,2009-10-17,CDC
Asthma,"Headaches, Dizziness",Anti-inflammatory drugs,Nicholas Webb,2012-10-27,PubMed
Alzheimer's,"Joint Pain, Swelling","Chloroquine, Artemisinin",Luis Woods,2016-05-10,WHO
COVID-19,"Confusion, Memory Loss","Chloroquine, Artemisinin",Tina Washington,2009-10-31,Elsevier
Alzheimer's,"Chills, Muscle Pain","Rest, Fluids",Melody Reeves,2022-09-03,WHO
Malaria,"Numbness, Weakness","Blood Thinners, Surgery",Damon Stewart,2004-12-28,CDC
Hypertension,"Loss of Smell, Cough","Vaccines, Antiviral Drugs",Regina Martin,2019-06-03,CDC
Stroke,"Chills, Muscle Pain","Bronchodilators, Corticosteroids",Cheryl Brown,2009-05-16,PubMed
Arthritis,"Chills, Muscle Pain","Rest, Fluids",William Schneider,2008-07-15,PubMed
COVID-19,"Numbness, Weakness","Vaccines, Antiviral Drugs",Terry Lowe,2008-05-05,PubMed
Stroke,"Fever, Headache","Insulin, Metformin",Amanda Ward,2017-11-23,NIH
Malaria,"Numbness, Weakness","Lifestyle changes, Antihypertensive drugs",Gregory Collins,2014-06-10,WHO
Cancer,"Headaches, Dizziness","Vaccines, Antiviral Drugs",Bryan Duke,2006-09-22,Elsevier
Hypertension,"Loss of Smell, Cough","Rest, Fluids",Rebecca Mckay,2022-04-26,WHO
Arthritis,"Confusion, Memory Loss",Anti-inflammatory drugs,Anne Guzman,2002-08-18,WHO
Stroke,"Confusion, Memory Loss","Chemotherapy, Radiotherapy",Harold Hernandez,2011-01-29,CDC
Cancer,"Increased Thirst, Fatigue","Lifestyle changes, Antihypertensive drugs",Rachel Copeland,2011-10-24,Elsevier
Stroke,"Loss of Smell, Cough","Lifestyle changes, Antihypertensive drugs",Christy Bennett,2005-03-20,PubMed
Cancer,"Joint Pain, Swelling","Rest, Fluids",Jacob Cox,2004-05-10,Elsevier
Asthma,"Shortness of Breath, Cough","Chemotherapy, Radiotherapy",Nicole Willis,2021-10-06,Elsevier
Alzheimer's,"Headaches, Dizziness","Rest, Fluids",Caitlin Freeman,2023-06-07,WHO
COVID-19,"Fever, Headache","Rest, Fluids",Ryan Thompson,2001-02-05,Elsevier
COVID-19,"Chills, Muscle Pain","Insulin, Metformin",Barbara Taylor,2008-07-25,PubMed
Alzheimer's,"Increased Thirst, Fatigue","Blood Thinners, Surgery",Lacey Thompson,2003-04-29,CDC
Arthritis,"Loss of Smell, Cough","Vaccines, Antiviral Drugs",Mr. Thomas Taylor PhD,2001-02-05,WHO
Arthritis,"Headaches, Dizziness","Chemotherapy, Radiotherapy",Alexis Wilson,2010-01-31,Elsevier
Flu,"Shortness of Breath, Cough","Medications, Therapy",Sarah Turner,2010-01-18,CDC
Alzheimer's,"Increased Thirst, Fatigue","Bronchodilators, Corticosteroids",Dylan Gonzalez,2011-05-29,CDC
Alzheimer's,"Chills, Muscle Pain",Anti-inflammatory drugs,Jillian Lopez,2003-09-26,PubMed
Hypertension,"Headaches, Dizziness","Bronchodilators, Corticosteroids",Jennifer Berger,2006-04-24,WHO
Diabetes,"Chills, Muscle Pain","Lifestyle changes, Antihypertensive drugs",Melody Reeves,2014-03-20,WHO
Asthma,"Chills, Muscle Pain","Blood Thinners, Surgery",Brandon Wood,2024-07-20,CDC
Stroke,"Increased Thirst, Fatigue","Rest, Fluids",John Jacobs,2015-05-21,Elsevier
Malaria,"Fever, Headache","Vaccines, Antiviral Drugs",Richard Matthews,2010-11-27,Elsevier
Diabetes,"Numbness, Weakness","Chloroquine, Artemisinin",Michael Ryan,2010-12-05,NIH
Hypertension,"Increased Thirst, Fatigue","Insulin, Metformin",Tammy Booker,2019-01-18,Elsevier
Hypertension,"Loss of Smell, Cough","Blood Thinners, Surgery",Mary Larson,2004-01-07,Elsevier
Malaria,"Headaches, Dizziness","Vaccines, Antiviral Drugs",Mrs. Rebecca Douglas DDS,2019-12-15,WHO
Asthma,"Increased Thirst, Fatigue","Chemotherapy, Radiotherapy",Albert Simmons,2021-08-28,PubMed
Flu,"Headaches, Dizziness","Blood Thinners, Surgery",Alexander Henry,2010-03-19,Elsevier
Malaria,"Fever, Headache","Rest, Fluids",Felicia Rodriguez,2005-07-13,NIH
Alzheimer's,"Fever, Headache","Vaccines, Antiviral Drugs",Jack Lee,2004-10-25,Elsevier
Malaria,"Fatigue, Weight Loss","Blood Thinners, Surgery",Danny Clay,2003-02-28,WHO
Diabetes,"Increased Thirst, Fatigue","Vaccines, Antiviral Drugs",Sarah Herrera,2000-02-20,NIH
Arthritis,"Confusion, Memory Loss","Lifestyle changes, Antihypertensive drugs",Aaron Ellis,2020-07-16,WHO
Asthma,"Headaches, Dizziness","Lifestyle changes, Antihypertensive drugs",Jasmine Williams,2012-04-18,PubMed
COVID-19,"Loss of Smell, Cough","Insulin, Metformin",Lisa Bautista,2006-08-31,NIH
Cancer,"Headaches, Dizziness",Anti-inflammatory drugs,Norma Brooks,2013-09-07,WHO
Cancer,"Fatigue, Weight Loss","Lifestyle changes, Antihypertensive drugs",Ashley Hale,2013-10-20,CDC
Flu,"Loss of Smell, Cough","Medications, Therapy",Michael Garrison,2024-11-07,NIH
Malaria,"Loss of Smell, Cough","Chloroquine, Artemisinin",Anthony Fisher,2001-12-06,WHO
Flu,"Shortness of Breath, Cough","Vaccines, Antiviral Drugs",Kelly Combs,2012-08-22,Elsevier
Alzheimer's,"Shortness of Breath, Cough","Blood Thinners, Surgery",Tina Cooper,2018-05-31,CDC
Flu,"Loss of Smell, Cough","Chloroquine, Artemisinin",Brad Parks,2019-04-14,PubMed
Diabetes,"Chills, Muscle Pain","Chemotherapy, Radiotherapy",Joy Hoover,2016-01-15,CDC
Diabetes,"Fever, Headache","Rest, Fluids",Carol Davis,2005-06-25,PubMed
Hypertension,"Loss of Smell, Cough","Chloroquine, Artemisinin",Brandon Wood,2008-01-25,Elsevier
Diabetes,"Numbness, Weakness","Blood Thinners, Surgery",Sherry Combs,2006-08-29,Elsevier
Hypertension,"Numbness, Weakness","Insulin, Metformin",Ashley Hicks,2011-03-05,Elsevier
Cancer,"Increased Thirst, Fatigue",Anti-inflammatory drugs,Jennifer Day,2013-06-06,NIH
Flu,"Numbness, Weakness","Medications, Therapy",Elizabeth Coleman,2022-02-03,WHO
Flu,"Shortness of Breath, Cough","Bronchodilators, Corticosteroids",Megan Griffin,2008-01-22,NIH
Hypertension,"Fever, Headache",Anti-inflammatory drugs,Donna Wright,2021-05-11,Elsevier
Asthma,"Fatigue, Weight Loss","Lifestyle changes, Antihypertensive drugs",Hayley Fernandez,2007-04-24,PubMed
Arthritis,"Fever, Headache","Insulin, Metformin",Larry Williams,2019-05-20,Elsevier
Asthma,"Fever, Headache","Medications, Therapy",Kaitlyn Kelly,2001-06-09,PubMed
Asthma,"Chills, Muscle Pain","Bronchodilators, Corticosteroids",Ryan Hernandez,2001-12-19,PubMed
Malaria,"Increased Thirst, Fatigue","Blood Thinners, Surgery",Katherine Singleton,2001-04-22,WHO
Cancer,"Fatigue, Weight Loss","Lifestyle changes, Antihypertensive drugs",Dawn Johnson,2008-02-18,WHO
Flu,"Increased Thirst, Fatigue","Chemotherapy, Radiotherapy",Michael Nelson,2023-06-05,NIH
Flu,"Chills, Muscle Pain","Lifestyle changes, Antihypertensive drugs",Justin Hicks,2002-05-05,NIH
Stroke,"Joint Pain, Swelling","Bronchodilators, Corticosteroids",Tyler Gutierrez,2017-03-27,Elsevier
Diabetes,"Confusion, Memory Loss","Vaccines, Antiviral Drugs",Bradley Miranda,2013-06-16,NIH
Cancer,"Fatigue, Weight Loss","Chemotherapy, Radiotherapy",Douglas Hughes,2001-01-13,CDC
Flu,"Confusion, Memory Loss","Bronchodilators, Corticosteroids",Tyler Fitzgerald,2021-07-14,PubMed
Alzheimer's,"Chills, Muscle Pain","Chloroquine, Artemisinin",Sheila Garcia MD,2009-05-24,Elsevier
COVID-19,"Chills, Muscle Pain","Blood Thinners, Surgery",Dr. David Wade,2016-09-20,Elsevier
Alzheimer's,"Numbness, Weakness","Medications, Therapy",Kevin Carey,2015-10-12,Elsevier
Hypertension,"Shortness of Breath, Cough","Rest, Fluids",Matthew Brady,2011-09-12,WHO
Alzheimer's,"Headaches, Dizziness","Blood Thinners, Surgery",Carolyn Shah,2021-11-30,Elsevier
Flu,"Confusion, Memory Loss","Bronchodilators, Corticosteroids",Casey Ellison,2001-12-26,CDC
Flu,"Fatigue, Weight Loss","Vaccines, Antiviral Drugs",Ms. Sara Hernandez,2007-04-22,Elsevier
Hypertension,"Fatigue, Weight Loss","Vaccines, Antiviral Drugs",Christopher Elliott,2011-01-19,PubMed
Flu,"Shortness of Breath, Cough","Bronchodilators, Corticosteroids",Donald Howard,2013-12-05,NIH
Diabetes,"Fever, Headache",Anti-inflammatory drugs,Megan Meyer,2017-04-19,Elsevier
Asthma,"Joint Pain, Swelling","Vaccines, Antiviral Drugs",Hannah Solis,2024-08-08,NIH
Alzheimer's,"Chills, Muscle Pain","Rest, Fluids",Ann Carson,2010-11-02,PubMed
Diabetes,"Confusion, Memory Loss","Bronchodilators, Corticosteroids",Denise Blake,2013-06-30,CDC
COVID-19,"Numbness, Weakness","Bronchodilators, Corticosteroids",Sarah Jennings,2001-10-09,PubMed
COVID-19,"Fatigue, Weight Loss","Blood Thinners, Surgery",Jacob Brooks,2022-07-11,PubMed
Diabetes,"Increased Thirst, Fatigue","Lifestyle changes, Antihypertensive drugs",Andrew Turner,2005-08-16,PubMed
Asthma,"Increased Thirst, Fatigue","Blood Thinners, Surgery",Lisa Moreno,2019-04-10,WHO
Stroke,"Increased Thirst, Fatigue","Chloroquine, Artemisinin",Marie Green,2021-10-28,Elsevier
Hypertension,"Chills, Muscle Pain","Blood Thinners, Surgery",Anthony Fisher,2012-06-16,PubMed
Malaria,"Confusion, Memory Loss",Anti-inflammatory drugs,Justin Hicks,2021-11-08,NIH
